Feature,Importance
http_request_version_0_0,0.2646747118411326
tcp_ack,0.15087026419217298
tcp_checksum,0.12462194130048945
http_referer_0_0,0.12208200473380278
dns_qry_name_len_0_0,0.065613944922716
http_request_method_0_0,0.05744424997812668
tcp_ack_raw,0.052058219054302614
udp_stream,0.04520082505825238
tcp_len,0.03240836513454961
icmp_seq_le,0.028874382986016724
tcp_seq,0.02507059048743979
tcp_flags,0.01199009053311457
tcp_connection_syn,0.009458464449968595
tcp_connection_rst,0.0031154967011013273
http_request_method_0,0.0022617960391061896
http_request_version_HTTP_1_0,0.0020563889468107163
http_request_method_GET,0.0010744836366408422
tcp_connection_fin,0.000445565503128835
mqtt_conack_flags_0,0.0002794766181261823
icmp_checksum,0.0002087698490865759
http_request_version_HTTP_1_1,6.359586879137145e-05
http_content_length,4.104416413906458e-05
arp_opcode,3.8477314941971094e-05
http_response,2.3261801827415716e-05
mqtt_topic_0,7.98817622557557e-06
tcp_connection_synack,7.949337552395504e-06
arp_hw_size,7.651370436741076e-06
tcp_flags_ack,1.7560322553723228e-19
icmp_unused,0.0
http_tls_port,0.0
dns_retransmit_request_in,0.0
mqtt_msg_decoded_as,0.0
mqtt_conflags,0.0
mqtt_hdrflags,0.0
mqtt_len,0.0
mqtt_topic_len,0.0
dns_retransmit_request,0.0
dns_retransmission,0.0
mqtt_conflag_cleansess,0.0
dns_qry_type,0.0
udp_time_delta,0.0
dns_qry_name,0.0
dns_qry_qu,0.0
Attack_label,0.0
mbtcp_len,0.0
mbtcp_trans_id,0.0
mbtcp_unit_id,0.0
mqtt_ver,0.0
mqtt_msgtype,0.0
mqtt_proto_len,0.0
http_referer________________________echo_93e4r0_CVE_2014_6278__true__echo_echo___,0.0
http_request_version__a_HTTP_1_1,0.0
http_referer_127_0_0_1,0.0
http_referer_0,0.0
http_request_version__etc_passwd__data_Download_HTTP_1_1,0.0
http_request_version_By_Dr_HTTP_1_1,0.0
http_request_method_OPTIONS,0.0
http_request_method_TRACE,0.0
http_request_method_POST,0.0
dns_qry_name_len_0,0.0
http_request_version_Src_javascript_alert__Vulnerable____Img_Src____HTTP_1_1,0.0
http_request_version_0,0.0
dns_qry_name_len_1_0,0.0
dns_qry_name_len_1_debian_pool_ntp_org,0.0
dns_qry_name_len_2_debian_pool_ntp_org,0.0
dns_qry_name_len_3_debian_pool_ntp_org,0.0
dns_qry_name_len_0_debian_pool_ntp_org,0.0
dns_qry_name_len__googlecast__tcp_local,0.0
mqtt_conack_flags_0_0,0.0
mqtt_protoname_0,0.0
mqtt_conack_flags_0x00000000,0.0
mqtt_protoname_0_0,0.0
mqtt_protoname_MQTT,0.0
mqtt_topic_0_0,0.0
mqtt_topic_Temperature_and_Humidity,0.0
