Feature,Importance
tcp_checksum,10221
tcp_ack_raw,9875
tcp_ack,6330
tcp_seq,4333
tcp_len,2547
icmp_checksum,1872
tcp_flags,1407
icmp_seq_le,905
http_referer_0,756
tcp_connection_rst,750
http_request_method_0,660
udp_stream,644
Attack_label,586
http_referer_0_0,557
http_request_method_0_0,533
tcp_connection_syn,471
http_request_version_0_0,431
tcp_connection_fin,393
dns_qry_name,314
tcp_connection_synack,225
http_content_length,205
http_request_version_0,193
udp_time_delta,141
http_request_method_GET,106
dns_qry_name_len_0,91
http_request_version_HTTP_1_1,72
http_request_version_HTTP_1_0,64
http_response,47
dns_qry_name_len_0_0,44
tcp_flags_ack,30
mqtt_conack_flags_0_0,28
http_request_method_TRACE,23
dns_qry_qu,20
mqtt_conack_flags_0,8
mqtt_hdrflags,7
http_referer________________________echo_93e4r0_CVE_2014_6278__true__echo_echo___,7
dns_qry_name_len_1_0,4
http_referer_127_0_0_1,3
mqtt_protoname_0_0,3
mqtt_protoname_0,3
mqtt_conflag_cleansess,2
mqtt_topic_0_0,1
mqtt_msgtype,1
http_tls_port,0
icmp_unused,0
arp_opcode,0
arp_hw_size,0
mqtt_len,0
mbtcp_len,0
mbtcp_trans_id,0
mbtcp_unit_id,0
mqtt_conflags,0
dns_retransmission,0
dns_retransmit_request,0
dns_retransmit_request_in,0
dns_qry_type,0
mqtt_msg_decoded_as,0
mqtt_proto_len,0
mqtt_topic_len,0
mqtt_ver,0
http_request_version_By_Dr_HTTP_1_1,0
http_request_version_Src_javascript_alert__Vulnerable____Img_Src____HTTP_1_1,0
http_request_version__a_HTTP_1_1,0
http_request_method_OPTIONS,0
http_request_method_POST,0
http_request_version__etc_passwd__data_Download_HTTP_1_1,0
dns_qry_name_len_0_debian_pool_ntp_org,0
dns_qry_name_len__googlecast__tcp_local,0
dns_qry_name_len_3_debian_pool_ntp_org,0
dns_qry_name_len_2_debian_pool_ntp_org,0
dns_qry_name_len_1_debian_pool_ntp_org,0
mqtt_conack_flags_0x00000000,0
mqtt_protoname_MQTT,0
mqtt_topic_0,0
mqtt_topic_Temperature_and_Humidity,0
