,arp_opcode,arp_hw_size,icmp_checksum,icmp_seq_le,icmp_unused,http_content_length,http_response,http_tls_port,tcp_ack,tcp_ack_raw,tcp_checksum,tcp_connection_fin,tcp_connection_rst,tcp_connection_syn,tcp_connection_synack,tcp_flags,tcp_flags_ack,tcp_len,tcp_seq,udp_stream,udp_time_delta,dns_qry_name,dns_qry_qu,dns_qry_type,dns_retransmission,dns_retransmit_request,dns_retransmit_request_in,mqtt_conflag_cleansess,mqtt_conflags,mqtt_hdrflags,mqtt_len,mqtt_msg_decoded_as,mqtt_msgtype,mqtt_proto_len,mqtt_topic_len,mqtt_ver,mbtcp_len,mbtcp_trans_id,mbtcp_unit_id,Attack_label
arp_opcode,1.0,0.9504308760466372,-0.0028492795565402125,-0.0029658123776771495,,-0.000692946615630171,-0.00236980054190357,,-0.002499102128346664,-0.011563249147750143,-0.013286418475059004,-0.002689836975099685,-0.003483164103401977,-0.004137878309008136,-0.0019007411947630916,-0.015124559066357263,-0.01472982422891683,-0.0012885029012092509,-0.0012839237003738813,-0.0027980072443956052,-0.0003445458658755972,-0.0008757388712236435,-0.00036510237140312843,,-8.291449008722869e-05,-2.722216333140053e-05,,-0.0009664224942320216,-0.0009664224942320216,-0.001349171820237631,-0.001257633922059899,,-0.001349171820237631,-0.0009664224942320216,-0.0009648621951183765,-0.0009664224942320216,,,,0.0015972323776953174
arp_hw_size,0.9504308760466372,1.0,-0.002997881937918333,-0.0031204924549732413,,-0.0007290868100924033,-0.002493395997151092,,-0.0026294412264275245,-0.012166323126882978,-0.013979363265558457,-0.0028301237290271606,-0.003664826334230929,-0.004353686747025506,-0.00199987315507821,-0.01591337092211091,-0.015498048937747245,-0.0013557039587863576,-0.0013508859326145097,-0.002943935550614737,-0.0003625154385858586,-0.0009214124806911955,-0.0003841440557169017,,-8.723884311515286e-05,-2.8641918121002238e-05,,-0.001016825650963573,-0.001016825650963573,-0.0014195370270898094,-0.0013232250274644516,,-0.0014195370270898094,-0.001016825650963573,-0.001015183975432022,-0.001016825650963573,,,,0.0016249867857962897
icmp_checksum,-0.0028492795565402125,-0.002997881937918333,1.0,0.6774974992164359,,-0.017506091104977924,-0.059868889249805504,,-0.06313546895628595,-0.29212537947960415,-0.33565825568213176,-0.06795405314276862,-0.0879960833235242,-0.10453629908118353,-0.04801892060941678,-0.38209568091690355,-0.3721233917525378,-0.03255178489772279,-0.03243609935254025,-0.07068678687208035,-0.008704352084001055,-0.022124019539182187,-0.009223676445283413,,-0.002094690391221369,-0.0006877206131106121,,-0.024414983561959445,-0.024414983561959445,-0.03408447962455235,-0.031771933825336496,,-0.03408447962455235,-0.024414983561959445,-0.024375565318450067,-0.024414983561959445,,,,0.11637606717549186
icmp_seq_le,-0.0029658123776771495,-0.0031204924549732413,0.6774974992164359,1.0,,-0.01822207356407471,-0.062317469820499245,,-0.06571764952694707,-0.3040730293752974,-0.349386358767971,-0.07073330921900946,-0.09159503935265491,-0.108811734187294,-0.04998284874476685,-0.39772303048298285,-0.3873428841861448,-0.03388312190832552,-0.033762704934486326,-0.07178459184270185,-0.009060351797047866,0.21994275434442406,-0.009600916030271259,,-0.0021803612339216486,-0.0007158477314257914,,-0.025413533144768338,-0.025413533144768338,-0.035478502390244124,-0.03307137566955497,,-0.035478502390244124,-0.025413533144768338,-0.025372502732628928,-0.025413533144768338,,,,0.12113573752432397
icmp_unused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http_content_length,-0.000692946615630171,-0.0007290868100924033,-0.017506091104977924,-0.01822207356407471,,1.0,0.2672348949936395,,-0.015352830364152201,0.03853720882906425,0.01895037409494926,-0.01652646930889902,-0.021400703903476335,-0.02542329498435334,-0.011678232290731722,0.07778724852055513,0.04704378035073877,0.023087500640793603,-0.007823913449004134,-0.017191071904596344,-0.0021169040096528824,-0.005380575741900235,-0.0022432040274025927,,-0.0005094300466439435,-0.00016725409420083982,,-0.005937739661625019,-0.005937739661625019,-0.008289367305898566,-0.0077269546843014274,,-0.008289367305898566,-0.005937739661625019,-0.005928153119521307,-0.005937739661625019,,,,0.02830273417871557
http_response,-0.00236980054190357,-0.002493395997151092,-0.059868889249805504,-0.062317469820499245,,0.2672348949936395,1.0,,-0.05250537385551839,0.13719276567760688,0.06660985032359631,-0.05560959432028035,-0.07318803290706132,-0.08694484809065121,-0.03993825871547636,0.26585864420718697,0.16088450921574748,0.07309543924185267,-0.026791743680511057,-0.058791558536392646,-0.007239576839077304,-0.018400972053687577,-0.0076715088865894334,,-0.0017421942374318189,-0.0005719904450536795,,-0.0203064108409059,-0.0203064108409059,-0.02834871646741668,-0.026425327702148674,,-0.02834871646741668,-0.0203064108409059,-0.020273625930553204,-0.0203064108409059,,,,0.09679221065691677
http_tls_port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tcp_ack,-0.002499102128346664,-0.0026294412264275245,-0.06313546895628595,-0.06571764952694707,,-0.015352830364152201,-0.05250537385551839,,1.0,0.004167441396422446,0.07040725576186666,-0.05960192371825841,-0.07718129161067461,0.5954930395940815,-0.042117378340058784,-0.27860933038047253,-0.32035354234760943,-0.012308625626460543,-0.02816870446889581,-0.06199935668387193,-0.007634584247471903,-0.01940497000058879,-0.008090083467829018,,-0.0018372522285195136,-0.0006031995154661256,,-0.021414373476019457,-0.021414373476019457,-0.029895483124540254,-0.027867150651330247,,-0.029895483124540254,-0.021414373476019457,-0.02137979859655234,-0.021414373476019457,,,,0.09467140231640489
tcp_ack_raw,-0.011563249147750143,-0.012166323126882978,-0.29212537947960415,-0.3040730293752974,,0.03853720882906425,0.13719276567760688,,0.004167441396422446,1.0,0.31450557745606256,0.14562849085807034,-0.0998677700251314,-0.2564578829287983,0.1050662544059767,0.6232224047237678,0.6653804220810731,0.01968509554909872,0.0888799492153801,-0.28686863181943345,-0.03532492681738073,-0.08978604766739474,-0.03743250413959108,,-0.008500895191380165,-0.00279098089030533,,0.05568434020253085,0.05568434020253085,0.07038318671155112,0.06409763863812325,,0.07038318671155112,0.05568434020253085,0.04715788107366718,0.05568434020253085,,,,-0.13448499378788362
