Feature,Importance
tcp_checksum,9600
tcp_ack_raw,9338
tcp_ack,6870
tcp_seq,4546
tcp_len,2706
icmp_checksum,1566
http_request_method,1517
tcp_flags,1494
http_referer,1311
http_request_version,980
icmp_seq_le,724
udp_stream,720
tcp_connection_rst,717
dns_qry_name_len,610
tcp_connection_syn,432
tcp_connection_fin,422
http_content_length,299
dns_qry_name,289
udp_time_delta,203
tcp_connection_synack,198
mqtt_conack_flags,124
http_response,80
mqtt_protoname,49
mqtt_topic,40
tcp_flags_ack,34
mqtt_hdrflags,15
dns_qry_qu,13
mqtt_conflag_cleansess,10
mqtt_msgtype,3
mqtt_conflags,2
mqtt_len,1
arp_opcode,0
arp_hw_size,0
icmp_unused,0
http_tls_port,0
dns_qry_type,0
dns_retransmission,0
dns_retransmit_request,0
dns_retransmit_request_in,0
mbtcp_len,0
mbtcp_trans_id,0
mqtt_topic_len,0
mqtt_proto_len,0
mqtt_msg_decoded_as,0
mqtt_ver,0
mbtcp_unit_id,0
