Feature,Missing Values,Percent Missing
arp.opcode,0,0.0
arp.hw.size,0,0.0
icmp.checksum,0,0.0
icmp.seq_le,0,0.0
icmp.unused,0,0.0
http.content_length,0,0.0
http.request.method,0,0.0
http.referer,0,0.0
http.request.version,0,0.0
http.response,0,0.0
http.tls_port,0,0.0
tcp.ack,0,0.0
tcp.ack_raw,0,0.0
tcp.checksum,0,0.0
tcp.connection.fin,0,0.0
tcp.connection.rst,0,0.0
tcp.connection.syn,0,0.0
tcp.connection.synack,0,0.0
tcp.flags,0,0.0
tcp.flags.ack,0,0.0
tcp.len,0,0.0
tcp.seq,0,0.0
udp.stream,0,0.0
udp.time_delta,0,0.0
dns.qry.name,0,0.0
dns.qry.name.len,0,0.0
dns.qry.qu,0,0.0
dns.qry.type,0,0.0
dns.retransmission,0,0.0
dns.retransmit_request,0,0.0
dns.retransmit_request_in,0,0.0
mqtt.conack.flags,0,0.0
mqtt.conflag.cleansess,0,0.0
mqtt.conflags,0,0.0
mqtt.hdrflags,0,0.0
mqtt.len,0,0.0
mqtt.msg_decoded_as,0,0.0
mqtt.msgtype,0,0.0
mqtt.proto_len,0,0.0
mqtt.protoname,0,0.0
mqtt.topic,0,0.0
mqtt.topic_len,0,0.0
mqtt.ver,0,0.0
mbtcp.len,0,0.0
mbtcp.trans_id,0,0.0
mbtcp.unit_id,0,0.0
Attack_label,0,0.0
Attack_type,0,0.0
