Feature,Importance
tcp_ack,0.13956445539023887
tcp_len,0.0979482965863505
tcp_seq,0.08575974983143479
tcp_ack_raw,0.0772997662248953
icmp_seq_le,0.06444392549005805
tcp_checksum,0.04995463432768969
udp_stream,0.04723892015317954
http_referer_0_0,0.04549462546017525
tcp_flags,0.04208220501947941
http_request_version_0_0,0.0369048124579996
http_referer_0,0.0359181949992444
icmp_checksum,0.032663868434078806
http_request_method_0_0,0.030854541931228763
http_request_version_0,0.020180789188484576
tcp_connection_rst,0.019489384640322363
http_request_method_0,0.014998510290415734
Attack_label,0.014980402538484509
mqtt_conack_flags_0_0,0.013869563781511138
http_content_length,0.013159309475489616
mqtt_protoname_0_0,0.011859333585234702
tcp_flags_ack,0.011304781626772634
udp_time_delta,0.010886548458511322
tcp_connection_syn,0.010868528579535151
mqtt_topic_0_0,0.010232065082361795
dns_qry_name_len_0,0.009839618639103605
dns_qry_name_len_0_0,0.0065236100737945555
http_response,0.005506866414796977
dns_qry_name_len_1_0,0.004728706517276807
http_request_version_HTTP_1_1,0.004428074066593464
dns_qry_name,0.004327870311864088
http_request_method_GET,0.004140146116427123
mqtt_conack_flags_0,0.004099687754336922
mqtt_topic_0,0.0039020195933040106
mqtt_protoname_0,0.0034340813541795913
dns_qry_qu,0.0031977055461681965
tcp_connection_fin,0.002322675215992041
http_request_version_HTTP_1_0,0.002044303162784881
tcp_connection_synack,0.0014695050109272813
http_referer_127_0_0_1,0.000498839125726526
http_request_method_TRACE,0.0004192565402407457
http_request_method_POST,0.0003464689533556257
mqtt_hdrflags,0.0001786444680246118
mqtt_msgtype,0.00016709738172038523
mqtt_len,0.00012236271386867215
arp_opcode,0.00011353356865519213
arp_hw_size,7.447505998019497e-05
http_referer________________________echo_93e4r0_CVE_2014_6278__true__echo_echo___,5.020407291814908e-05
mqtt_conflags,4.180510881707295e-05
mqtt_protoname_MQTT,2.507949158435874e-05
mqtt_conack_flags_0x00000000,1.161062999075415e-05
mqtt_topic_len,1.1230925310469542e-05
mqtt_conflag_cleansess,9.021525344455023e-06
dns_retransmission,3.378650763746028e-06
http_request_version_By_Dr_HTTP_1_1,1.0350650996877604e-06
mqtt_ver,9.309292770515774e-07
http_request_method_OPTIONS,7.573552394898577e-07
dns_qry_name_len_1_debian_pool_ntp_org,6.820813383804359e-07
http_request_version_Src_javascript_alert__Vulnerable____Img_Src____HTTP_1_1,5.97832125786801e-07
dns_qry_name_len_3_debian_pool_ntp_org,5.824334737516403e-07
dns_qry_name_len_2_debian_pool_ntp_org,3.227564187145317e-07
icmp_unused,0.0
http_tls_port,0.0
mqtt_proto_len,0.0
mqtt_msg_decoded_as,0.0
dns_qry_type,0.0
dns_retransmit_request,0.0
dns_retransmit_request_in,0.0
mbtcp_trans_id,0.0
mbtcp_len,0.0
mbtcp_unit_id,0.0
http_request_version__a_HTTP_1_1,0.0
http_request_version__etc_passwd__data_Download_HTTP_1_1,0.0
dns_qry_name_len_0_debian_pool_ntp_org,0.0
dns_qry_name_len__googlecast__tcp_local,0.0
mqtt_topic_Temperature_and_Humidity,0.0
