Feature,Importance
udp_stream,0.18912688
mqtt_topic,0.17008704
dns_qry_name_len,0.12674753
http_referer,0.090665296
icmp_seq_le,0.0694407
mqtt_len,0.052482285
http_content_length,0.035780344
http_request_method,0.031604335
mqtt_msgtype,0.031165628
tcp_connection_rst,0.025284383
mqtt_hdrflags,0.019353554
icmp_checksum,0.018014094
http_request_version,0.01708426
tcp_connection_syn,0.016554654
tcp_ack,0.013648107
tcp_flags_ack,0.012995067
tcp_flags,0.012777338
dns_qry_name,0.012604819
tcp_len,0.010628503
mqtt_protoname,0.009837357
tcp_seq,0.0077936277
mqtt_conflags,0.005073594
tcp_ack_raw,0.004877122
mqtt_conack_flags,0.004013141
udp_time_delta,0.0036707793
tcp_connection_synack,0.0021963203
http_response,0.0019330832
tcp_connection_fin,0.0014426948
dns_qry_qu,0.0013816754
tcp_checksum,0.0008637091
dns_retransmission,0.0005832662
arp_opcode,0.0001572477
arp_hw_size,0.00013153022
icmp_unused,0.0
http_tls_port,0.0
mqtt_conflag_cleansess,0.0
dns_qry_type,0.0
dns_retransmit_request,0.0
dns_retransmit_request_in,0.0
mbtcp_len,0.0
mbtcp_trans_id,0.0
mqtt_topic_len,0.0
mqtt_proto_len,0.0
mqtt_msg_decoded_as,0.0
mqtt_ver,0.0
mbtcp_unit_id,0.0
